#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;;;;;;
ca_mamelouks_armenien_2;;Ribat Al-Armini;;;;;;;x;;;;;;;;
mamelouks_armenien_2_desc;;Le Ribat est une caserne. Cette caserne est suffisante pour accueillir et entraîner plusieurs centaines d'arméniens. Contrairement aux autres gardes, qui sont des esclaves-soldats, le souverain a choisi d'accuellir des mercenaires arméniens du Caucase. Montagnards, rustiques, ces derniers sont de véritables "bédouins" chrétiens et se montrent féroces au combat. Les Arméniens, de plus, amènent souvent leur propre équipement, forgés dans l'excellent fer de leur pays.;;;;;;;x;;;;;;;;
ca_mamelouks_armenien_3;;Grand Ribat Al-Armini;;;;;;;x;;;;;;;;
mamelouks_armenien_3_desc;;Le Ribat est une caserne. Cette caserne est suffisante pour accueillir et entraîner plusieurs milliers d'arméniens. Contrairement aux autres gardes, qui sont des esclaves-soldats, le souverain a choisi d'accuellir des mercenaires arméniens du Caucase. Montagnards, rustiques, ces derniers sont de véritables "bédouins" chrétiens et se montrent féroces au combat. Les Arméniens, de plus, amènent souvent leur propre équipement, forgés dans l'excellent fer de leur pays. De plus, notre politique a attiré de nombreux nobles, les Nakharars, qui forment une très bonne cavalerie lourde.;;;;;;;x;;;;;;;;
ca_mamelouks_soudanais_1;;Petit Ribat Al-Sudani;;;;;;;x;;;;;;;;
mamelouks_soudanais_1_desc;;Le Ribat est une caserne de mamelouks. Cette caserne est suffisante pour accueillir et entraîner une garde royale, fidèle au souverain. Des enfants du Soudan, "le pays des noirs", sont achetés dans tout le Sahel et envoyés ici. Ils sont ensuite entraînés militairement (furusiyya) et éduqués dans l'Islam. Contrairement aux autres mamelouks, les Soudanais sont connus pour leur archerie de qualité.;;;;;;;x;;;;;;;;
ca_mamelouks_soudanais_2;;Ribat Al-Sudani;;;;;;;x;;;;;;;;
mamelouks_soudanais_2_desc;;Le Ribat est une caserne de mamelouks. Cette caserne est suffisante pour accueillir et entraîner plusieurs centaines de mamelouks, fidèles au souverain. Des centaines d'enfants du Soudan, "le pays des noirs", sont achetés dans tout le Sahel et envoyés ici. Ils sont ensuite entraînés quotidiennement selon la Furusiyya, l'éducation militaire. Chasse, jeux équestres et discipline stricte permettent d'élever ces esclaves comme des soldats redoutables et loyaux envers leur souverain. Contrairement aux autres mamelouks, les Soudanais sont connus pour leur archerie de qualité.;;;;;;;x;;;;;;;;
ca_mamelouks_soudanais_3;;Grand Ribat Al-Sudani;;;;;;;x;;;;;;;;
mamelouks_soudanais_3_desc;;Le Ribat est une caserne de mamelouks. Cette caserne est suffisante pour accueillir et entraîner plusieurs milliers de mamelouks, fidèles au souverain. Des milliers d'enfants du Soudan, "le pays des noirs", sont achetés dans tout le Sahel et envoyés ici. Ils sont ensuite entraînés quotidiennement selon la Furusiyya, l'éducation militaire. Chasse, jeux équestres et discipline stricte permettent d'élever ces esclaves comme des soldats redoutables. De plus, ils sont éduqués dans l'Islam et ils apprennent à respecter les moindres ordres de leur souverain. Contrairement aux autres mamelouks, les Soudanais sont connus pour leur archerie de qualité.;;;;;;;x;;;;;;;;
ca_mamelouks_francs_1;;Petit Ribat Al-Ifranji;;;;;;;x;;;;;;;;
mamelouks_francs_1_desc;;Le Ribat est une caserne. Cette caserne est suffisante pour accueillir et entraîner une garde royale, fidèle au souverain. Contrairement aux autres gardes, qui sont des esclaves-soldats, le souverain a choisi d'accuellir des mercenaires "francs" de l'Europe chrétienne. Les "Francs" sont une dénomination large mais qui désigne généralement les peuples chrétiens d'Europe, des Espagnols aux Allemands. La chevalerie des Francs est redoutable. ;;;;;;;x;;;;;;;;
ca_mamelouks_francs_2;;Ribat Al-Ifranji;;;;;;;x;;;;;;;;
mamelouks_francs_2_desc;;Le Ribat est une caserne. Cette caserne est suffisante pour accueillir et entraîner plusieurs centaines de Francs, fidèles au souverain. Contrairement aux autres gardes, qui sont des esclaves-soldats, le souverain a choisi d'accuellir des mercenaires "francs" de l'Europe chrétienne. Les "Francs" sont une dénomination large mais qui désigne généralement les peuples chrétiens d'Europe, des Espagnols aux Allemands. Les qualités morales et militaires des chevaliers chrétiens est recherché par les dirigeants musulmans, surtout ceux du Maghreb.;;;;;;;x;;;;;;;;
ca_mamelouks_francs_3;;Grand Ribat Al-Ifranji;;;;;;;x;;;;;;;;
mamelouks_francs_3_desc;;Le Ribat est une caserne. Cette caserne est suffisante pour accueillir et entraîner plusieurs milliers de Francs, fidèles au souverain. Contrairement aux autres gardes, qui sont des esclaves-soldats, le souverain a choisi d'accuellir des mercenaires "francs" de l'Europe chrétienne. Les "Francs" sont une dénomination large mais qui désigne généralement les peuples chrétiens d'Europe, des Espagnols aux Allemands. Les qualités morales et militaires des chevaliers chrétiens est recherché par les dirigeants musulmans, surtout ceux du Maghreb. Dans de telles conditions, il n'est pas rare que certains chevaliers choissisent de se convertir à l'Islam, même si la majorité d'entre eux restent chrétiens. Quoiqu'il en soit, ils restent tous redoutables en tant que cavaliers lourds.;;;;;;;x;;;;;;;;
ct_avoir;;Ayyarum;;;;;;;x;;;;;;;;
ct_avoir_desc;;En cas de danger, les pouvoirs musulmans lèvent les milices des villes, les Ayyarum. Formées à partir des voyous et autres petites frappes de la cité, les milices urbaines, sédentaires par excellence, sont d'une valeur militaire des plus minables. Elles ne servent qu'à faire nombre et se feront hacher par le premier guerrier venu. Vous devriez avoir honte de lever de tels soldats.;;;;;;;x;;;;;;;;
ct_Bannum_Ciuitatis;;Bannum Ciuitatis;;;;;;;x;;;;;;;;
ct_Bannum_Ciuitatis_desc;;Le roi détient seul le Bannum, qui est le droit de justice, de contraindre, mais aussi de lever l'ost, devoir qui incombe à chaque homme libre. Dans les faits, les vassaux détenant un bénifice public (abbés, comtes) doivent obligatoirement venir, souvent accompagnés d'une escorte de cavaliers. Les villes sont souvent tenues par l'Evêque. Ce dernier reste un bénificiaire public et entretient une cavalerie lourde pour l'ost. Les citadins sont rarement concernés par le fait militaire, sauf pour la défense.;;;;;;;x;;;;;;;;
ct_Temps_Des_Chartes;;Tempus Cartorum;;;;;;;x;;;;;;;;
ct_Temps_Des_Chartes_desc;;STOP ET ON INFORME FARAS QUAND ON A CONSTRUIT CE BATIMENT\nDepuis quelques temps, une rupture est apparue dans le monde urbaine. En effet, depuis le Bas-Empire, la situation des villes n'avait cessé de décliner, tant en termes démographiques qu'économiques. Désormais, les villes sont en pleine dynamique économique, et certaines d'entre-elle se sont même étendues au-delà de leur enceinte datant de l'époque romaine. De nouvelles classes sociales se sont dévelopées, et ces dernières supportent de plus en plus mal les exactions des Comtes et autres Barons. Ils se rassemblent dans une conjuration, la Commune, et exigent une charte de franchise.;;;;;;;x;;;;;;;;
ct_Charte_Sergents;;Carta manu firmare (Servientes);;;x;;;;;;;;;;;;;
ct_Charte_Sergents_desc;;Face à la révolte sourde des classes urbaines, un seigneur peut accorder à une ville une charte de franchise. Cette dernière affranchit les habitants de la Ville, qui ne sont plus des serfs, mais des hommes libres. De plus, ils obtiennent le droit de s'organiser comme ils l'entendent, avec leurs propres magistrats. Ils reçoivent aussi le droit de justice, même si le seigneur garde souvent la mainmise sur la haute justice. Les chartes de franchise sont rachetés au seigneur et ce dernier lève quelques nouveaux impôts (rachat des droits banaux), ce qui lui permet de ne pas être perdant dans cette affaire. De plus, étant donné que les citadins sont désormais libres, ils doivent désormais servir militairement le seigneur. Ce dernier a indiqué dans la Charte qu'il attend de la Commune un service de 40 jours gratuits en tant que servientes (Sergents).;;;x;;;;;;;;;;;;;
ct_Charte_Archers;;Carta manu firmare (Sagitarii);;;;;x;;;;;;;;
ct_Charte_Archers_desc;;Face à la révolte sourde des classes urbaines, un seigneur peut accorder à une ville une charte de franchise. Cette dernière affranchit les habitants de la Ville, qui ne sont plus des serfs, mais des hommes libres. De plus, ils obtiennent le droit de s'organiser comme ils l'entendent, avec leurs propres magistrats. Ils reçoivent aussi le droit de justice, même si le seigneur garde souvent la mainmise sur la haute justice. Les chartes de franchise sont rachetés au seigneur et ce dernier lève quelques nouveaux impôts (rachat des droits banaux), ce qui lui permet de ne pas être perdant dans cette affaire. De plus, étant donné que les citadins sont désormais libres, ils doivent désormais servir militairement le seigneur. Ce dernier a indiqué dans la Charte qu'il attend de la Commune un service de 40 jours gratuits en tant que Sagittarii (Archers ou Arbalétriers). Ces soldats étant particulièrement méprisés par la noblesse, cette Charte vous coûte un peu plus en prestige.;;;x;;;;;;;;;;;;;
ct_Charte_Piquier;;Carta manu firmare (Picardi);;;x;;;;;;;;;;;;;
ct_Charte_Piquier_desc;;Face à la révolte sourde des classes urbaines, un seigneur peut accorder à une ville une charte de franchise. Cette dernière affranchit les habitants de la Ville, qui ne sont plus des serfs, mais des hommes libres. De plus, ils obtiennent le droit de s'organiser comme ils l'entendent, avec leurs propres magistrats. Ils reçoivent aussi le droit de justice, même si le seigneur garde souvent la mainmise sur la haute justice. Les chartes de franchise sont rachetés au seigneur et ce dernier lève quelques nouveaux impôts (rachat des droits banaux), ce qui lui permet de ne pas être perdant dans cette affaire. De plus, étant donné que les citadins sont désormais libres, ils doivent désormais servir militairement le seigneur. Ce dernier a indiqué dans la Charte qu'il attend de la Commune un service de 40 jours gratuits en tant que Picardi (Piquenaires).;;;x;;;;;;;;;;;;;
ca_culture_Badawi_syst_1;;Imad;;;;;;;;;x;;;;;;;;
Badawi_syst_1_desc;;" Imad" signifie "piquets de tentes". C'est la grande différence entre les sédentaires et les "Badawi", les bédouins, dans le monde musulman. Les bédouins, qui désignent des forces tribales ou nomades, vivent simplement, sans luxe, et d'une façon très austère. Leur asabiyya, leur esprit de clan, est très forte. Ces guerriers sont armés légèrement, mais ils possèdent un moral hors norme.;;;;;;;x;;;;;;;;
ca_culture_Badawi_syst_2;;Sabiqua;;;;;;;;;x;;;;;;;;
Badawi_syst_2_desc;;La Sabiqua détermine les premiers instants d'une construction pour aller au-delà de la simple tribu. Le grand défaut des Badawi, c'est qu'ils passent plus de temps à se tuer entre-eux lors de querelles familiales, claniques ou tribales qu'à s'unifier contre les autres. Avec un niveau d'autorité tribale suffisant, il est possible de faire cesser ces querelles, et ainsi lever plus de guerriers.;;;;;;;x;;;;;;;;
ca_culture_Badawi_syst_3;;Dawa;;;;;;;;;x;;;;;;;;
Badawi_syst_3_desc;;La Dawa est le message religieux. Selon Ibn Khaldoun, une dawa dans une tribu bédouine renforce considérablement l'asabiyya de celle-ci. Ce message est souvent prêché par un Mahdi ou un missionnaire chiite, rencontré lors du pelerinage à la Mecque. Lorsqu'une tribu dispose d'une dawa, elle est toute entière tournée vers la propagation de ce message, y compris et surtout par les armes.;;;;;;;x;;;;;;;;
muslim_government;;Mulk;;;;;x;;;;;;;;;;;;;
ct_mil_commun;;Militia Communitatis;;;;;x;;;;;;;;;;;;;
ct_mil_commun_desc;;Les habitants des villes forment une commune, c'est-à-dire un corps politique et social pour se gouverner. En cas de danger, les magistrats peuvent exiger que tous les hommes libres portent les armes. Les villes sont effectivement beaucoup plus difficiles à prendre avec une population motivée à la défense. Toutefois, les citadins forment des soldats médiocres en campagne, seuls les plus riches pouvant se permettre d'acheter un équipement lourd. De plus, il leur manque la discipline et l'entraînement des autres soldats.;;;;;x;;;;;;;;;;;;;
ct_defensores_civ;;Defensores Civitatis;;;;;;;x;;;;;;;;
ct_defensores_civ_desc;;Face aux razzias musulmanes, les villes forment des points de défense essentiels. En plus des habitants des villes, les paysans de la région rejoignent les cités en cas de danger. Tous ces combattants sont mal armés et ils ne sont guère utiles dans les guerres offensives, mais ils defendront leurs terres à n'importe quel prix.;;;;;;;x;;;;;;;;
ct_locupletes;;Locupletes Villani;;;;;;;x;;;;;;;;
ct_locupletes_desc;;Contrairement au reste de l'Occident chrétien, la cavalerie lourde des royaumes des Espagnes est recrutée autant chez les nobles que dans les milieux urbains. Les locupletes, les "riches", forment ainsi une très bonne cavalerie lourde, bien que non-nobles. Ces "caballeros villanos" (Chevaliers-Vilains), comme les Milites (Chevaliers) classiques espagnols, se séparent entre une cavalerie lourde de charge, et ceux qui aiment monter "à la jinete", formant une cavalerie légère redoutable. Si les "Pedones", les piétons, sont toujours présents, ils deviennent de moins en moins importants dans la guerre mobile des états espagnols.;;;;;;;x;;;;;;;;
ca_culture_celt_syst_1;;Ceithernn agus Fiann;;;;;x;;;;;;;;
celt_syst_1_desc;;Les Celtes, les Brehons, se constituent en tribus et en clans gaëliques, se battant farouchement autant entre eux que contre n'importe quel envahisseur. Les Fiann, les nobles, sont en tête des combats. Ils montent, sans selle, des petits chevaux et lancent leurs javelots sur leurs adversaires. Ils encadrent le gros de l'armée, les Ceithernn, les hommes libres du clan. Ils sont pieds nus, sans casque, sans armure, armés seulement d'un bouclier, de javelots ou d'un arc court. Si les Celtes sont mal armés, ils sont tous téméraires et vaillants au combat.;;;;;x;;;;;;;;
ca_culture_celt_syst_2;;Oenach;;;;;x;;;;;;;;
celt_syst_2_desc;;L'Oenach est la levée générale, qui ne peut être proclamée que par une autorité légitime et suffisament forte. Seul ce pouvoir légitime, ou une cause juste, peut obliger l'ensemble des celtes à rejoindre l'armée, au-delà des séparations en clans ou tribus. Cette levée est très contraignante envers le Fiann, la classe des nobles, propriétaires fonciers qui fournissent ainsi une meilleure cavalerie légère. Bien sûr, le reste des hommes libres mobilisés forme toujours une infanterie légère d'harcèlement, les Ceithernn.;;;;;x;;;;;;;;
ca_culture_Eire_syst_1;;Oenach Fiann;;;;;x;;;;;;;;
Eire_syst_1_desc;;La construction d'une autorité royale (ou ducale) au-dessus des tribus et des clans ne permet plus de lever les troupes de ceux-ci, sous peine de retomber dans la dissension. Les autorités celtes préfèrent ainsi demander le service de l'aristocratie, des Fiann, et de leur parentèle, plus attaché à la personne du souverain. Cela permet de lever une bonne cavalerie légère, avec même un peu de cavalerie lourde. Leur suite est composé d'infanterie, notamment de piquenaires, qui se battront comme il faut pour protéger leur chef. ;;;;;x;;;;;;;;
ca_culture_Ecosse_syst_1;;Oenach Fiann;;;;;x;;;;;;;;
Ecosse_syst_1_desc;;La construction d'une autorité royale (ou ducale) au-dessus des tribus et des clans ne permet plus de lever les troupes de ceux-ci, sous peine de retomber dans la dissension. Les autorités celtes préfèrent ainsi demander le service de l'aristocratie, des Fiann, de leur parentèle, et de gardes de corps, plus attaché à la personne du souverain. Cela permet de lever une bonne cavalerie légère, avec même un peu de cavalerie lourde. Leur suite est composé d'infanterie, notamment de piquenaires, qui se battront comme il faut pour protéger leur chef. ;;;;;x;;;;;;;;
ca_culture_Ecosse_syst_2;;Servitium Debitum;;;;;x;;;;;;;;
Ecosse_syst_2_desc;;;;;;;x;;;;;;;;
ca_culture_Francais_sysfed_1;;Servitium Debitum;;;;;;;x;;;;;;;;
ca_culture_Francais_sysfed_1_desc;;Le Servitium debitum est le service militaire dû à son suzerain. Ce dernier a délégué, en fait donné, la puissance publique (potestas) à ses vassaux, qui eux-mêmes la déleguèrent à leurs vassaux etc. Il en suit un morcellement du pouvoir à des echelles très petites. Ce système repose sur les liens d'hommes à hommes, la vassalité. Ce sont les Milites (Chevaliers) qui profitent de la décomposition totale du pouvoir public. En tant que seigneurs (Dominus), ils se sont emparés de localités, fortifiant des lieux, exerçant leur domination juridique et politique sur le territoire. Les Milites se sont complètement emparés de la fonction militaire. Le reste des hommes sont souvent exclus du métiers des armes, même si en pratique, on trouve quelques auxiliaires légers et les rares hommes libres qui n'ont pas été réduit au statut de serf. Les Milites forment une cavalerie lourde formidable, empreint d'idéaux guerriers et exhaltant la vertu, le courage et l'honneur. Les Chevaliers français sont reconnus partout dans la chrétienté pour être l'incarnation idéale des vertus chevaleresques. Toutefois, leur impétuosité et leur sens réduit des réalités font qu'ils sont moins habiles pour défendre ou se replier, car tout le monde sait que ce genre de manoeuvre est réservé aux gueux ou aux anglais.;;;;;;;x;;;;;;;;
ca_culture_Francais_sysfed_2;;Retrobannum Regis;;;;;;;x;;;;;;;;
ca_culture_Francais_sysfed_2_desc;;Avec l'installation d'une monarchie plus forte et plus centralisée, le système féodal doit évoluer. Désormais, l'Etat essaie obtenir le service militaire de l'ensemble des vassaux ou sous-vassaux de la Couronne. Pour ce faire, la monarchie a ressucité le vieux concept de l'hériban carolingien sous le terme de "Retrobannum", l'arrière-ban. En instituant le Retrobannum, tout possesseur de fief doit obligatoirement le service militaire au roi, indépendamment de sa condition (laïque, cléricale ou féminine). De plus, l'arrière-ban touche théoriquement l'ensemble des hommes libres qui peuvent porter les armes. Cette obligation chez les couches inférieures aux Milites est souvent transformée en impôt supplémentaire, utile pour développer les caisses de l'Etat. L'arrière-ban permet de mobiliser encore un peu plus de chevaliers, encadrés par quelques sergents levés par leur soins ou venus de communautés rurales libres. ;;;;;;;x;;;;;;;;
ca_culture_Francais_sysfed_3;;Compagnies d'Ordonnance;;;;;;;x;;;;;;;;
ca_culture_Francais_sysfed_3_desc;;L'évolution militaire et la restauration de la puissance publique face aux pouvoirs féodaux permettent des changements drastiques dans l'organisation militaire du royaume. Une armée permanente est désormais mise en place. Les Compagnies d'Ordonnance sont séparés en "lance". Une lance est formée d'un homme d'armes, de 3 archers à cheval, d'un coutillier et d'un page. Les Compagnies forment donc une cavalerie lourde entraînée, encadrée par des archers à cheval (qui démontent pour combattre) mobiles et puissants. Soldées en temps de paix comme en temps de guerre, cette cavalerie professionelle est forte, mais coûte très cher, demandant une fiscalité développée. De plus, l'infanterie regagne de plus en plus d'intérêt ces derniers temps. La Couronne a donc décidé de mettre en place une milice permanente de francs-archers, dispensée de tailles, soldée en temps de guerre, devant s'entraîner régulièrement au sein de leur paroisse. Ce système permet d'avoir une infanterie de très bonne qualité, même si les finances de l'Etat doivent être solides. ;;;;;;;x;;;;;;;;
RETTYPE_LANCES_RIR;;Vingt lances d'ordonnance;;;;;;;x;;;;;;;;
ca_culture_Espagnes_sysfed_1;;Servitium Debitum;;;;;;;x;;;;;;;;
ca_culture_Espagnes_sysfed_1_desc;;Le Servitium debitum est le service militaire dû à son suzerain. Ce dernier a délégué, en fait donné, la puissance publique (potestas) à ses vassaux, qui eux-mêmes la déleguèrent à leurs vassaux etc. Il en suit un morcellement du pouvoir à des echelles très petites. Ce système repose sur les liens d'hommes à hommes, la vassalité. Ce sont les Milites (Chevaliers) qui profitent de la décomposition totale du pouvoir public. En tant que seigneurs (Dominus), ils se sont emparés de localités, fortifiant des lieux, exerçant leur domination juridique et politique sur le territoire. Les Milites se sont complètement emparés de la fonction militaire. Partout l'infanterie légère libre recule devant ces Grands (Nobiliores), qui forment deux types de cavalerie. Si une partie de ces milites emportent le même équipement lourd commun à la chevalerie occidentale, beaucoup d'entre eux montent à la "jinete", c'est-à-dire sur des étriers courts, emportant des javelots et une lance légère. Ces génétaires sont parfaitement formés aux tactiques de razzia et d'harcèlement, mais ils manquent de la puissance de choc de leurs confrères plus lourdement armés. Contrairement au reste de la chrétienté occidentale, les pedones, les piétons, sont encore nombreux, car les communautés rurales sur les frontières ont des fueros (coutumes) leur permettant le port des armes et les obligeant à fournir des troupes lors des algarades contre les mahométans.;;;;;;;x;;;;;;;;
ca_culture_Espagnes_sysfed_2;;Acostamiento y Hermandades;;;;;;;x;;;;;;;;
ca_culture_Espagnes_sysfed_2_desc;;Avec l'installation d'une monarchie plus forte et plus centralisée, le système féodal doit évoluer. Dans les Royaumes des Espagnes, la hidalguía, la petite noblesse espagnole, forment l'essentiel des troupes montées lors des guerres. Toutefois, le developpement de l'Etat ne permet plus d'inféoder des titres ou des terres pour récompenser cette petite noblesse. C'est pour cela que la monarchie a développé les acostamientos, c'est-à-dire les rentes en fiefs. Attention, car si cela permet d'éviter le morcellement de la puissance publique, les rentes coûtent très chères à l'Etat. Ces milites montent souvent à la "jinete", avec des étriers courts, des javelots et une lance légère. Habiles pour harceler l'adversaire et piller rapidement les contrées ennemies, ils manquent toutefois de la puissance de choc de leurs confrères lourdement armés. De plus, les localités rurales et urbaines entretiennent des Hermandades, des confréries militaires organisées qui luttent contre les razzias mahométanes et le brigandage endémique. Ces milices permanentes et aggueries fournissent une infanterie légère d'une très bonne qualité.  ;;;;;;;x;;;;;;;;
ca_culture_Espagnes_sysfed_3;;Guardas Reales;;;;;;;x;;;;;;;;
ca_culture_Espagnes_sysfed_3_desc;;L'évolution militaire et la restauration de la puissance publique face aux pouvoirs féodaux permettent des changements drastiques dans l'organisation militaire du royaume. Une armée permanente est désormais mise en place. Les Guardas Reales sont séparés en "lance". Une lance est formée d'un homme d'armes, de 3 archers à cheval, d'un coutillier et d'un page. Les Guardas Reales forment donc une cavalerie lourde entraînée, encadrée par des archers à cheval (qui démontent pour combattre) mobiles et puissants. Soldées en temps de paix comme en temps de guerre, cette cavalerie professionelle est forte, mais coûte très cher, demandant une fiscalité développée. De plus, l'infanterie, les Peones, nous est toujours fournie par les Hermandades et les villes. ;;;;;;;x;;;;;;;;
terra_imp_juu;;Les Terra Imperii Romanorum sont les régions qui appartenaient à l'Empire des Romains (partie occidentale), mais qui n'ont pas été réoccupées de facto par la Basileia tôn Rhômaiôn (qui continue toutefois à réclamer la souveraineté de jure sur ces terres) au règne de Justinien. Mais les populations locales, le clergé et même les monarchies "barbares" ne cessent de se réclamer du modèle romain. En plus, le Pape, arguant de la Donation de Constantin, réclame aussi une forme de souveraineté sur ces terres, sachant qu'il est déjà le chef religieux de l'Occident chrétien. De ce fait, il existe plusieurs solutions de sortie pour ces terres :\n\n- Soit la Basileia tôn Rhômaiôn redevient à nouveau puissante, elle pourra réclamer légitimement ces terres.\n- Soit le Pape devient puissant et il s'appuiera sur la donation de Constantin pour soumettre les monarques chrétiens.\n- Soit un monarque catholique puissant utilise les discordes entre le Pape et le Basileus Autokratôr de l'Empire d'Orient, afin d'être couronné Empereur des Romains sur un Empire Romain d'Occident restauré.;;;;;;;x;;;;;;;;
e_terra_imperii;;Terra Imperii Romanorum (Pars Occidentalis);;;;;;;x;;;;;;;;
e_terra_nullius;;Terra Nullius;;;;;;;x;;;;;;;;
terra_nu_juu;;Ces terres sont à l'écart de l'oikoumène ou des grands centres sédentaires et étatiques. Ces régions ne disposent pas du socle historique, culturel et religieux nécessaire pour concevoir une monarchie universelle. Toutefois, la conversion à une religion monothéiste peut changer bien des choses :\n\n- Les Catholiques (ou affiliés) sont coiffés par le Pape et, s'il existe, l'Imperator Semper Augustus. Si ce dernier est puissant, il peut réclamer la vassalité de n'importe quel souverain catholique. Mais d'un autre côté, si l'Empire d'Occident est trop faible, un monarque catholique puissant peut prétendre à la couronne impériale, pour guider la Chrétienté vers des jours meilleurs.\n\n- Les Orthodoxes (ou affiliés) sont dominés par la figure du Basileus Autokratôr, image de Dieu sur terre. Tant que ce dernier existe et maintient un semblant de puissance, il est très difficile de contester la figure de l'héritier de Constantin. Toutefois, si l'Empire d'Orient vient à faiblir, un souverain orthodoxe puissant pourra prétendre à la couronne romaine.\n\n- Les Musulmans sont inclus dans le Dar-al-Islam, la "maison de l'Islam". Nominalement, le Calife est à la tête de la Oumma, mais il est tout-à-fait possible pour un souverain musulman puissant de s'emparer de la personne califale et de se faire nommer Amir-al-Umara pour régir les Croyants.;;;;;;;x;;;;;;;;
CALIPH;Khalîfa Amîr al-Mu'minin;Khalîfa Amîr al-Mu'minin;;;x;;;;;;;;;;;;;;;;;
CALIPH_SH;Khalîfa Imâm;Khalîfa Imâm;;;x;;;;;;;;;;;;;;;;;
emirdes;Amîr al-'umara';Amîr al-'umara';;;;;x;;;;;;;;;;;;;;;
d_almomh;Al-Muwahhidun Khîlafa;Al-Muwahhidun Khîlafa;;;x;;;;;;;;;;;;;;;
e_papal_state;;Patrimonium Sancti Petri;;;;;;;x;;;;;;;; 
e_papal_state_adj;;pontifical;;;;;;;x;;;;;;;;
ECUMENICAL_PATRIARCH;Patriarchos Oikoumenikos;Patriarchos Oikoumenikos;;;;;;;x;;;;;;;;;;;;;
barony_of_arabic;Wilaya de;Wilaya de;Wilayah von;;Vilayato de;;;;;;;;;x;;;;;;;;
count_arabic;Cheikh;Cheikh;Scheich;;Jeque;;;;;;;;;x;;;;;;;;
county_of_arabic;Cheikat;Cheikat;Scheichtum von;;Dominio del Jeque;;;;;;;;;x;;;;;;;;
duke_arabic;Amîr;Amîr;Emir;;Emir;;;;;;;;;x;;;;;;;;
duke_female_arabic;Émirat;Émirat;Emirin;;Emira;;;;;;;;;x;;;;;;;;
duchy_of_arabic;Amirat;Amirat;Emirat von;;Emirato de;;;;;;;;;x;;;;;;;;
king_arabic;Amîr;Amîr;Sultan;;Sultán;;;;;;;;;x;;;;;;;;
king_female_arabic;Amîrat;Amîra;Sultanin;;Sultana;;;;;;;;;x;;;;;;;;
kingdom_arabic;Amirat;Amirat;Sultanat von;;Sultanato de;;;;;;;;;x;;;;;;;;
kingdom_of_arabic;Amirat;Amirat;Sultanat von;;Sultanato de;;;;;;;;;x;;;;;;;;
baron_turkish;Timarlu;Timarlu;Timariot;;Timariots;;;;;;;;;x;;;;;;;;
barony_of_turkish;Timar;Timar;Timar von;;Timariot de;;;;;;;;;x;;;;;;;;
count_turkish;Bey;Bey;Bey;;Gobernador turco;;;;;;;;;x;;;;;;;;
county_of_turkish;Beylik de;Beylik de;Beylik von;;Beylicato de;;;;;;;;;x;;;;;;;;
duke_turkish;Beylerbey;Beylerbey;Beylerbey;;Gobernador de gobernadores;;;;;;;;;x;;;;;;;;
duchy_of_turkish;Beylerbeylik;Beylerbeylik;Beylerbeylik von;;Beylicato de Beylicatos de;;;;;;;;;x;;;;;;;;
king_turkish;Sultan;Amir;Sultan;;Sultán;;;;;;;;;x;;;;;;;;
kingdom_of_turkish;Amirât;Amirât;Sultanat von;;Sultanato de;;;;;;;;;x;;;;;;;;
kingdom_turkish;Amirât;Amirât;Sultanat von;;Sultanato de;;;;;;;;;x;;;;;;;;
king_tengri_pagan;Khan;Khan;;;;;;;;;;;;x;;;;;;;;
king_tengri_pagan_reformed;Khan;Khan;;;;;;;;;;;;x;;;;;;;;
kingdom_of_iranian;Shahr;Shahr;Shahdom von;;Shahdom de;;;;;;;;;x;;;;;;;;
count_iranian;Marzoban;Marzoban;Marzoban;;Marzoban;;;;;;;;;x;;;;;;;;
county_of_iranian;Marzpanat;Marzpanat;Marzpanat von;;Marzpanate de;;;;;;;;;x;;;;;;;;
duke_iranian;Shahrabs;Shahrabs;Satrap;;Sátrapa;;;;;;;;;x;;;;;;;;
duchy_of_iranian;Shahrabr;Shahrabr;Satrap von;;Satrapía de;;;;;;;;;x;;;;;;;;
county_iranian;Marzpanat;Marzpanat;Marzpanat;;Marzpanate;;;;;;;;;x;;;;;;;;
duchy_iranian;Shahrabr;Shahrabr;Satrapy;;Satrapía;;;;;;;;;x;;;;;;;;
kingdom_iranian;Shahr;Shahr;Shahdom;;Shahdom;;;;;;;;;x;;;;;;;;
d_sunni;Khilâfa Islamiya;Khilâfa Islamiya;;;;;x;;;;;;;;;;;;;;;
d_shiite;Imâmah Islamiya;Imâmah Islamiya;;;x;;;;;;;;;;;;;;;;;
d_khad;Imâmah Islamiya;Imâmah Islamiya;;;x;;;;;;;;;;;;;;;;;
k_alania;Alania;Alania;;x;;;;;;;;;;;;;;;;;;
k_khazaria;Kazarlar;Kazarlar Kanligi;;x;;;;;;;;;;;;;;;;;;
k_pechenegs;Peçenek Kanligi;Peçenek Kanligi;;x;;;;;;;;;;;;;;;;;;
k_mauretania;Al-Maghrib;Al-Maghrib;;x;;;;;;;;;;;;;;;;;;
k_jerusalem;Filastin;Filastin;;x;;;;;;;;;;;;;;;;;;
k_andalusia;Al-Andalus;Al-Andalus;;x;;;;;;;;;;;;;;;;;;
k_syria;Bilad al-Cham;Bilad al-Cham;;;;x;;;;;;;;;;;;;;;;
k_arabia;Al-Arab;Al-Arab;;;;x;;;;;;;;;;;;;;;;
